Timestamp,Temperature (°C),Temperature (°F),Image Filename
11-30-2024 03:19PM,20.40,68.72,Pictures/11-30-2024-03:19PM.jpg
11-30-2024 03:24PM,20.40,68.72,Pictures/11-30-2024-03:24PM.jpg
11-30-2024 03:29PM,20.40,68.72,Pictures/11-30-2024-03:29PM.jpg
11-30-2024 03:34PM,20.40,68.72,Pictures/11-30-2024-03:34PM.jpg
11-30-2024 03:39PM,20.40,68.72,Pictures/11-30-2024-03:39PM.jpg
11-30-2024 03:44PM,20.40,68.72,Pictures/11-30-2024-03:44PM.jpg
11-30-2024 03:49PM,20.40,68.72,Pictures/11-30-2024-03:49PM.jpg
11-30-2024 03:54PM,20.40,68.72,Pictures/11-30-2024-03:54PM.jpg
11-30-2024 03:59PM,20.40,68.72,Pictures/11-30-2024-03:59PM.jpg
11-30-2024 04:04PM,20.40,68.72,Pictures/11-30-2024-04:04PM.jpg
11-30-2024 04:09PM,20.40,68.72,Pictures/11-30-2024-04:09PM.jpg
11-30-2024 04:14PM,20.40,68.72,Pictures/11-30-2024-04:14PM.jpg
11-30-2024 04:19PM,20.40,68.72,Pictures/11-30-2024-04:19PM.jpg
11-30-2024 04:24PM,20.40,68.72,Pictures/11-30-2024-04:24PM.jpg
11-30-2024 04:29PM,20.40,68.72,Pictures/11-30-2024-04:29PM.jpg
11-30-2024 04:34PM,20.40,68.72,Pictures/11-30-2024-04:34PM.jpg
11-30-2024 04:39PM,20.40,68.72,Pictures/11-30-2024-04:39PM.jpg
11-30-2024 04:44PM,20.40,68.72,Pictures/11-30-2024-04:44PM.jpg
11-30-2024 04:49PM,20.40,68.72,Pictures/11-30-2024-04:49PM.jpg
11-30-2024 04:54PM,20.40,68.72,Pictures/11-30-2024-04:54PM.jpg
11-30-2024 04:59PM,20.40,68.72,Pictures/11-30-2024-04:59PM.jpg
11-30-2024 05:04PM,20.40,68.72,Pictures/11-30-2024-05:04PM.jpg
11-30-2024 05:09PM,20.40,68.72,Pictures/11-30-2024-05:09PM.jpg
11-30-2024 05:14PM,20.40,68.72,Pictures/11-30-2024-05:14PM.jpg
11-30-2024 05:19PM,20.40,68.72,Pictures/11-30-2024-05:19PM.jpg
11-30-2024 05:24PM,20.40,68.72,Pictures/11-30-2024-05:24PM.jpg
